k_values,silhouette_scores,davies_bouldin_scores,optimal_k_silhouette,optimal_k_davies_bouldin
2000,0.07278407,2.362995029413979,18000,30000
3000,0.088795975,2.197751059451868,18000,30000
4000,0.102130614,2.0844140005377074,18000,30000
5000,0.11321373,2.0006170765559492,18000,30000
6000,0.120840125,1.9300684317595027,18000,30000
7000,0.12743232,1.8625169849467422,18000,30000
8000,0.13237256,1.8064584436168307,18000,30000
9000,0.13589026,1.7543439947552162,18000,30000
10000,0.13880567,1.7046262638093896,18000,30000
11000,0.14047997,1.6583262823288223,18000,30000
12000,0.14229776,1.6148222653571598,18000,30000
13000,0.14386994,1.5688133017108217,18000,30000
14000,0.1446203,1.5250483647622641,18000,30000
15000,0.14541394,1.4817047013026565,18000,30000
16000,0.14613707,1.439828161165513,18000,30000
17000,0.14661497,1.3988588091341831,18000,30000
18000,0.14694384,1.355883632704318,18000,30000
19000,0.14678304,1.3168821765375474,18000,30000
20000,0.14649424,1.2804856188141214,18000,30000
21000,0.14639577,1.2450699716094629,18000,30000
22000,0.14577565,1.2098928287643307,18000,30000
23000,0.1456891,1.1781915532734397,18000,30000
24000,0.14483859,1.145217172453065,18000,30000
25000,0.14382942,1.1134027981238124,18000,30000
26000,0.14314769,1.0845172614380452,18000,30000
27000,0.14196059,1.0581984603894654,18000,30000
28000,0.14071801,1.0315937211214297,18000,30000
29000,0.1393386,1.0059453372167135,18000,30000
30000,0.13753673,0.9807251238570988,18000,30000
