name,knn-1 accuracy stdev,knn-1 accuracy mean,knn-1 accuracy min,knn-1 accuracy max,knn-1 accuracy,knn-1 precision stdev,knn-1 precision mean,knn-1 precision min,knn-1 precision max,knn-1 precision,knn-1 f1 stdev,knn-1 f1 mean,knn-1 f1 min,knn-1 f1 max,knn-1 f1,knn-5 accuracy stdev,knn-5 accuracy mean,knn-5 accuracy min,knn-5 accuracy max,knn-5 accuracy,knn-5 precision stdev,knn-5 precision mean,knn-5 precision min,knn-5 precision max,knn-5 precision,knn-5 f1 stdev,knn-5 f1 mean,knn-5 f1 min,knn-5 f1 max,knn-5 f1,knn-5 accuracy_top5 stdev,knn-5 accuracy_top5 mean,knn-5 accuracy_top5 min,knn-5 accuracy_top5 max,knn-5 accuracy_top5,knn-1_crossvideo accuracy stdev,knn-1_crossvideo accuracy mean,knn-1_crossvideo accuracy min,knn-1_crossvideo accuracy max,knn-1_crossvideo accuracy,knn-1_crossvideo precision stdev,knn-1_crossvideo precision mean,knn-1_crossvideo precision min,knn-1_crossvideo precision max,knn-1_crossvideo precision,knn-1_crossvideo f1 stdev,knn-1_crossvideo f1 mean,knn-1_crossvideo f1 min,knn-1_crossvideo f1 max,knn-1_crossvideo f1,knn-5_crossvideo accuracy stdev,knn-5_crossvideo accuracy mean,knn-5_crossvideo accuracy min,knn-5_crossvideo accuracy max,knn-5_crossvideo accuracy,knn-5_crossvideo precision stdev,knn-5_crossvideo precision mean,knn-5_crossvideo precision min,knn-5_crossvideo precision max,knn-5_crossvideo precision,knn-5_crossvideo f1 stdev,knn-5_crossvideo f1 mean,knn-5_crossvideo f1 min,knn-5_crossvideo f1 max,knn-5_crossvideo f1,knn-5_crossvideo accuracy_top5 stdev,knn-5_crossvideo accuracy_top5 mean,knn-5_crossvideo accuracy_top5 min,knn-5_crossvideo accuracy_top5 max,knn-5_crossvideo accuracy_top5
Embedding-ResNet-152-CXL-OpenSet,0.03848100499055723,0.76517860888,0.7053571939,0.7991071939,0.7656250447,0.045241149368422634,0.74352663756,0.6835385561,0.7908835411,0.7468530387,0.041143326863852796,0.74787750246,0.6887853146,0.787488699,0.7506746352,0.02697108792456865,0.69642858508,0.6696428061,0.7321428657,0.6930803657,0.02722371176339418,0.64541772606,0.6142839789,0.6775438786,0.6532011628,0.02404158170098567,0.6522140026,0.630289495,0.6931104064,0.6541370004,0.023748994827957507,0.89017857314,0.8571428657,0.915178597,0.8861607164,0.09899492951267241,0.25997930168,0.1182795614,0.378947407,0.2302372754,0.12159497377669087,0.35230044128,0.194916904,0.5256803036,0.3433872461,0.0992014780229372,0.28744381071999997,0.1424068958,0.3818006516,0.2638546005,0.11009837350966725,0.27268927248,0.1182795689,0.4210526347,0.2355984319,0.11566029533030306,0.35221856834,0.211730212,0.5196111202,0.3415889964,0.10225287935989348,0.28851485252,0.1349471211,0.401181519,0.2603481859,0.15565710861153653,0.63122804164,0.4301075339,0.8631578684,0.573245585
Embedding-ResNet-152-CXL-OpenSet-QAT,0.049672087109562994,0.7919642925,0.7053571343,0.8303571939,0.7919642925,0.06103170661134627,0.76554497482,0.6677213311,0.8330021501,0.7655449748,0.052121618972861286,0.77027527094,0.6829130054,0.8193041086,0.7702752709,0.04067155418359286,0.72321429252,0.6562500596,0.7633928657,0.7232142925,0.058083203664389856,0.66803079842,0.576470077,0.7243739963,0.6680307984,0.046251271371978875,0.6825385332,0.606852591,0.7228013277,0.6825385332,0.023748994831717024,0.9089285612,0.875,0.9330357313,0.9089285612,0.09393334732369112,0.26272074281999996,0.139784947,0.3827160299,0.2627207428,0.14512929112865489,0.3833068162,0.1797234863,0.5450251102,0.3833068162,0.10184972600631663,0.29785462618,0.1572580636,0.4119332135,0.2978546262,0.10307365257508361,0.24353651106000002,0.116883114,0.3703703582,0.2435365111,0.13086898352968776,0.31080996394,0.1702479422,0.4465941489,0.3108099639,0.1065173136067094,0.26256143152,0.1356102526,0.3913215995,0.2625614315,0.09142649902287849,0.6184352159600001,0.494623661,0.7368420959,0.618435216
Embedding-ResNet-152-CXL-OpenSet-QAT&KD,0.049046271132402924,0.8473214388,0.7767856717,0.9151786566,0.8649553806,0.047989948286634505,0.83250961304,0.7671555281,0.9013662338,0.8488481343,0.04956462861913114,0.83528250456,0.7670764327,0.9067644477,0.8523340225,0.052481489256071844,0.77767858506,0.7276785374,0.8660714626,0.790178597,0.05448987901127495,0.74313248398,0.7022340298,0.8387807608,0.7533570975,0.055152631750195955,0.75002058748,0.7036701441,0.845623374,0.7616081983,0.01717443565935346,0.94375000002,0.915178597,0.959821403,0.9508928508,0.13940383972507644,0.54601398704,0.378947407,0.6515151262,0.5877806321,0.13371433484291953,0.64939767718,0.4591397941,0.8112770319,0.666085206,0.12646212518331557,0.570621258,0.4245996773,0.6760300994,0.6030307338,0.09598688672238755,0.52983602284,0.4210526645,0.6172839403,0.5570318624,0.07768091943643822,0.63305759428,0.5214285254,0.7353752851,0.6253737062,0.06858218579933445,0.54360502958,0.4511168897,0.6117925048,0.5565690324,0.07529018274026414,0.80927121642,0.6774193645,0.8641975522,0.803694278
Embedding-ResNet-18-CXL-OpenSet-QAT&KD,0.05044841264209778,0.7375000119,0.6785714626,0.7991071939,0.7375000119,0.053715176643603584,0.7169579028999999,0.6382092237,0.7730934024,0.7169579029,0.054576257039218576,0.71762017012,0.6466121674,0.781991303,0.7176201701,0.0632606580525362,0.6678571701,0.5669643283,0.741071403,0.6678571701,0.0720729256053639,0.6194209695,0.5074817538,0.6839937568,0.6194209695,0.06646844236911328,0.62885549068,0.5231858492,0.7017925382,0.6288554907,0.034377891070170266,0.87232141494,0.8125,0.897321403,0.8723214149,0.06868695593521684,0.32288149596,0.2315789461,0.4086021185,0.322881496,0.09642845313450095,0.40597132446,0.3264487684,0.5602670908,0.4059713244,0.07265345010696399,0.3473352015,0.2788444161,0.455050379,0.3473352015,0.07056416434521973,0.3004016906,0.2421052605,0.419354856,0.3004016906,0.0849968322595856,0.38193457127999997,0.2967948914,0.5148903131,0.3819345713,0.0708022278827057,0.32390682102,0.2552957237,0.4389021695,0.323906821,0.051649471604724585,0.66475925444,0.5740740895,0.6989247203,0.6647592545
Embedding-ResNet-18-CXL-OpenSet,0.0346665536402013,0.7928571343199999,0.7455357313,0.8392857313,0.7812499851,0.04211804517072422,0.75783958434,0.6977678537,0.8152551651,0.7434856892,0.03611042690337999,0.76638457776,0.7139309049,0.8142213225,0.7544253916,0.04030235534237972,0.72767851354,0.6919642687,0.7901784778,0.7120535225,0.036470091420606636,0.66872566938,0.632938683,0.7227855325,0.6552107036,0.036927354619839724,0.6835112571599999,0.6496724486,0.7404347062,0.6692803949,0.009678356146147734,0.89821428058,0.8928571343,0.915178597,0.8984375,0.02081065511026272,0.2512835473,0.2315789461,0.2839506269,0.2562096976,0.06644672352240613,0.34679548742,0.2811634541,0.4436245859,0.3632034957,0.025484510155645936,0.28453667166,0.2537343204,0.307341218,0.2922372594,0.03457842922462902,0.22542753816,0.1789473742,0.2688172162,0.2370475791,0.039688704278019855,0.2960947752,0.2390977442,0.3357705474,0.3103440329,0.029852615027452456,0.24816502034000001,0.2038986385,0.2770398557,0.2592316158,0.08141080342353886,0.57442120314,0.4516128898,0.6631578803,0.5522370338
Embedding-ResNet-18-CXL-OpenSet-QAT,0.02595438241857124,0.79732140304,0.7544642091,0.8214285374,0.7979910374,0.022035680883591265,0.77417654992,0.7433345318,0.8035017252,0.772329703,0.025080844998070933,0.77745724916,0.7354927063,0.7969658971,0.7777074873,0.05509365154212924,0.7160713911000001,0.6250000596,0.7633928061,0.708705321,0.055769019906383416,0.65091942548,0.5609688163,0.6964142919,0.644985199,0.060605696759916665,0.66934163568,0.567122817,0.7167286873,0.6625287533,0.013903948959146106,0.90267857314,0.8794642687,0.915178597,0.9006696492,0.027772888316179238,0.26965194346,0.2365591526,0.3052631617,0.2607491389,0.05359336540645638,0.3871889353,0.3104620576,0.4537355304,0.3705522865,0.030555543763335934,0.29941092133999997,0.266862154,0.3406684697,0.2890965343,0.03596467252522423,0.22035077214,0.1883116961,0.2651515007,0.2122805715,0.04631132330556799,0.2808742553,0.237024799,0.3395408988,0.2709173746,0.03596802820998934,0.2396692723,0.2053517252,0.2866507173,0.2326635085,0.06261130823734562,0.61562191246,0.5483871102,0.7157894969,0.5905800164
Embedding-ViT-Clip-CXL-OpenSet-QAT&KD,0.0182981249284281,0.8910714507,0.8616071343,0.90625,0.8984375298,0.0312560554847772,0.87544344662,0.8225675225,0.9037701488,0.8886624277,0.02513564435510899,0.87977514268,0.8377592564,0.9026125669,0.8902791142,0.028480606855723362,0.8294643402,0.7946429253,0.8660714626,0.8381696939,0.041786917875748,0.7988460898599999,0.7617647648,0.8615894914,0.8081164211,0.03365095527048155,0.80463783738,0.7670599818,0.8531336188,0.8140323013,0.015139120008242366,0.95089285372,0.9330357313,0.96875,0.9553571343,0.1456061707613559,0.62960125804,0.4301075041,0.7857143283,0.6527910307,0.1315945286791972,0.69409210682,0.520187676,0.8329904675,0.7089668065,0.14402754897469852,0.64580277204,0.4496671557,0.8026746511,0.6661104262,0.1649279361089399,0.5690619826,0.3118279576,0.7077922225,0.585011676,0.18059186214476947,0.61794534326,0.3205806911,0.773596406,0.617952995,0.1652578075009194,0.5791177273,0.3132719398,0.7202187181,0.5876021236,0.08611471293793559,0.86045492888,0.7684210539,0.9545454383,0.8834633976
Embedding-ViT-Clip-CXL-OpenSet-QAT,0.0115554764354565,0.90714287756,0.8928571939,0.9241070747,0.9073661119,0.009429990973614877,0.89889421462,0.8901464939,0.9104169011,0.8994636834,0.011013072764368055,0.89782032966,0.8852946758,0.9143545628,0.8980149627,0.02614563041292125,0.84553570746,0.803571403,0.8705356717,0.8392857164,0.03251960675734501,0.82790809868,0.7775776982,0.8661789894,0.818340376,0.029358469416219318,0.82401787042,0.7763462067,0.852907002,0.8167955875,0.009678334116104432,0.96071429252,0.946428597,0.96875,0.9587053657,0.033851914539511405,0.4608149767,0.4086021185,0.5,0.4628608227,0.08447703387539958,0.57248303892,0.4696158767,0.6615723372,0.5744440854,0.029707225813164206,0.48305461408,0.4434259832,0.5130182505,0.4795076922,0.04683495571560539,0.45531480312,0.3978494406,0.5151515007,0.4638803378,0.07443290608996672,0.52127735018,0.459290117,0.6226395369,0.5367741585,0.0394710724562801,0.46103335021999997,0.4190126956,0.5227653384,0.4665836841,0.07813843351810558,0.79506812094,0.7160493731,0.9242424369,0.8043614626
Embedding-ViT-Clip-CXL-OpenSet,0.012783708590603177,0.9142857909,0.8973215818,0.9285714626,0.9162947088,0.019950647266021488,0.90616341832,0.8783353567,0.9290760756,0.9131204337,0.016366933006182326,0.90499514342,0.8869903088,0.9234910607,0.9094963521,0.03109017929300702,0.84375002386,0.7901785374,0.8705357313,0.8415178657,0.030175101966327285,0.82080564498,0.7790401578,0.862637639,0.8226484656,0.028768302617345427,0.81990095378,0.772821784,0.8508589864,0.8195629865,0.015909406054934724,0.9607142806,0.9375,0.977678597,0.9665178508,0.07232854270121487,0.48247687219999996,0.4105263352,0.5925925374,0.5004645064,0.10326604488746177,0.57291790248,0.4414704442,0.6812255979,0.5912660956,0.0818063014005726,0.49964302780000003,0.4216500521,0.6251946092,0.5144498497,0.10271256898017435,0.42347871662,0.3246753514,0.5454545617,0.4477694407,0.15733783540678778,0.47803665398,0.339027077,0.6641631126,0.5092748851,0.12199894151408831,0.43012410402,0.3076516092,0.5689973831,0.4539249018,0.052523313384568615,0.79286934138,0.7204301357,0.8333333135,0.7831919342
Embedding-EfficientNet-Small-CXL-OpenSet-QAT,0.024040897319163045,0.82142856122,0.790178597,0.84375,0.8158482164,0.025296422123092396,0.81012260914,0.7779868245,0.8426027298,0.802002579,0.02129247743900108,0.8060248494,0.7756284475,0.8250948787,0.8012573421,0.03648718964814745,0.7517857194,0.7142857313,0.7946429253,0.7433035821,0.037457229332152064,0.7156007409,0.6535965204,0.7545140982,0.7121419758,0.03418409615251949,0.71881082058,0.6718818545,0.7634112835,0.7145435959,0.024123675513507685,0.9187500000000001,0.8794642687,0.9419642687,0.9129464328,0.06790853395171927,0.2892625451,0.204301089,0.3896104097,0.2852623835,0.14723662438246865,0.3989173025,0.2056067735,0.5972032547,0.3955764435,0.08693336782684227,0.32155806123999997,0.1915864795,0.4178935885,0.3151478656,0.06291342861957432,0.258126238,0.1720430255,0.3368421197,0.2384472676,0.11179083847647057,0.332344833,0.1705958992,0.4620976448,0.3302931897,0.07178167235076525,0.27690122126,0.1649984866,0.3342331946,0.2625682279,0.08285395763752822,0.69386681318,0.580645144,0.8105263114,0.6647019386
